Treatment,Mom,Ind,Weight,Develpomental_Stage,Sex,TBP,RPLP,11bHSD1,11bHSD2,PLII,Phlda2,Tpbpa,GR,IGF2,IGF2-R,log11bHSD1,log11bHSD2,logPLII,logPhlda2,logTpbpa,logGR
Control,112,A,0.2026,,M,0.484224902,0.217116785,0.8684,1.856472085,0.494003811,0.814756048,0.240443062,1.316048075,,,-0.061280185,0.268688423,-0.306269701,-0.088972407,-0.61898775,0.119271754
Control,112,B,0.1809,,F,0.941967493,0.911644446,0.4553,1.478598433,0.543716838,0.865200694,0.264639539,1.326733731,,,-0.34170235,0.169850242,-0.264627217,-0.062883141,-0.577345269,0.122783771
Control,112,C,,,M,0.903595618,0.922237245,0.5017,0.79603124,0.853183169,1.483947509,0.244645932,0.798046947,,,-0.299555899,-0.099069888,-0.068957721,0.171418539,-0.611462001,-0.097971559
Control,112,D,0.2101,,F,0.571866056,0.586367278,0.6965,1.035908771,0.988007623,0.566876641,0.155908036,0.93381728,,,-0.157078879,0.01532151,-0.005239705,-0.246511438,-0.807131499,-0.029738094
Control,112,E,0.1692,,M,0.754581785,1.020924728,0.5631,0.450905482,1.165482555,0.510897835,0.569894668,0.628308727,,,-0.249414473,-0.345914485,0.066505777,-0.291665938,-0.244205406,-0.201826908
Control,112,F,0.2243,,F,0.467730424,0.764829373,0.6394,0.640630159,1.939826216,0.72418995,0.734805264,1.165712638,,,-0.194227368,-0.19339262,0.287762824,-0.140147506,-0.133827741,0.066591505
Control,112,G,0.2081,,F,1.417893506,0.872489597,0.5612,0.713291468,1.210772162,0.848374636,0.730573097,1.259524214,,,-0.250882338,-0.146732971,0.083062427,-0.071412324,-0.136336325,0.100206521
Stress,113,A,0.1842,,F,0.848948639,0.894948458,0.5515,0.536220008,0.922909279,0.209657556,0.270200179,0.971225939,,,-0.258454483,-0.270656985,-0.034840988,-0.678489481,-0.568314368,-0.012679727
Stress,113,B,0.1938,,F,0.878886748,1.016217938,0.6766,0.510233769,0.913363311,0.503282403,1.090835734,0.858295015,,,-0.169668007,-0.292230802,-0.039356438,-0.298188254,0.037759356,-0.06636341
Stress,113,C,0.1779,,F,0.831477529,0.703786544,0.7345,1.100045824,0.802511559,0.605461331,0.600304838,0.925226734,,,-0.1340082,0.041410777,-0.095548704,-0.217913589,-0.221628157,-0.033751827
Stress,113,D,0.1871,,F,0.377290892,0.8624682,1.2438,0.464654501,1.458272915,0.360425601,2.279578672,0.553969656,,,0.094750552,-0.332869852,0.16383881,-0.443184369,0.357854585,-0.256514023
Stress,113,E,0.1568,,M,0.988798993,0.972571689,0.2627,1.54495372,1.146784315,1.085058927,0.286267117,0.84745707,,,-0.580539927,0.188915474,0.059481744,0.035453324,-0.543228536,-0.071882293
Stress,113,F,0.1495,,F,1.540874304,0.920108884,0.8545,0.468427265,0.992583752,0.245893709,0.612918519,0.848436656,,,-0.068287933,-0.329357835,-0.003232838,-0.609252582,-0.212597256,-0.071380576
Stress,113,G,0.1609,,F,0.825734094,1.002227365,1.1069,0.525791827,0.936874307,0.360842222,0.941979259,0.804526692,,,0.044108387,-0.279186169,-0.028318671,-0.442682652,-0.02595866,-0.094459543
Control,116,A,0.2102,,F,0.379915158,0.283851808,1.1754,0.864076104,0.299216315,0.415937902,0.148352437,1.091424392,,,0.070185686,-0.063448005,-0.52401473,-0.380971503,-0.828705315,0.037993656
