Treat,ID,Day,Mass
Control,112,1,20.4
Control,112,2,20.6
Control,112,3,20.4
Control,112,4,21.6
Control,112,5,21.1
Control,112,6,21.5
Control,112,7,21.8
Control,112,8,22.4
Control,112,9,22.9
Control,112,10,24.1
Control,112,11,25.2
Control,112,12,25.9
Control,112,13,27.8
Control,112,14,29.1
Control,116,1,19.1
Control,116,2,18.7
Control,116,3,19.1
Control,116,4,19.5
Control,116,5,19.5
Control,116,6,19.7
Control,116,7,20
Control,116,8,20.7
Control,116,9,21.7
Control,116,10,21.5
Control,116,11,22.6
Control,116,12,23.5
Control,116,13,25.7
Control,116,14,26.8
Control,122,1,22.3
Control,122,2,21.8
Control,122,3,22
Control,122,4,23
Control,122,5,22.3
Control,122,6,22.6
Control,122,7,23
Control,122,8,23.5
Control,122,9,23.7
Control,122,10,23.9
Control,122,11,25.2
Control,122,12,26.3
Control,122,13,27.4
Control,122,14,29.4
Control,123,1,19.6
Control,123,2,19.7
Control,123,3,20.2
Control,123,4,19.9
Control,123,5,19.7
Control,123,6,20.1
Control,123,7,20.3
Control,123,8,21.3
Control,123,9,21.3
Control,123,10,21.6
Control,123,11,21.4
Control,123,12,23
Control,123,13,24.5
Control,123,14,25.8
Control,130,1,22.5
Control,130,2,23.2
Control,130,3,24
Control,130,4,23.8
Control,130,5,24.3
Control,130,6,24.2
Control,130,7,25.1
Control,130,8,24.9
Control,130,9,25
Control,130,10,26.4
Control,130,11,27.5
Control,130,12,28.6
Control,130,13,30.1
Control,130,14,31.7
Control,136,1,19.8
Control,136,2,19.8
Control,136,3,20.4
Control,136,4,20.4
Control,136,5,20.3
Control,136,6,20.7
Control,136,7,20.9
Control,136,8,21.5
Control,136,9,21.8
Control,136,10,21.6
Control,136,11,22.4
Control,136,12,23
Control,136,13,24.2
Control,136,14,25.6
Control,149,1,20.4
Control,149,2,19.7
Control,149,3,19.6
Control,149,4,19.6
Control,149,5,19.4
Control,149,6,19.6
Control,149,7,20.8
Control,149,8,20.8
Control,149,9,21.4
Control,149,10,21.4
Control,149,11,22.6
Control,149,12,23.6
Control,149,13,24.8
Control,149,14,26.3
Control,155,1,20.1
Control,155,2,20
Control,155,3,21.3
Control,155,4,20.8
Control,155,5,21.1
Control,155,6,21
Control,155,7,21.9
Control,155,8,22.1
Control,155,9,22.6
Control,155,10,23.1
Control,155,11,24.8
Control,155,12,25.4
Control,155,13,26.7
Control,155,14,27.4
Control,156,1,21.8
Control,156,2,21.3
Control,156,3,21.2
Control,156,4,22.2
Control,156,5,21.6
Control,156,6,21.8
Control,156,7,22.4
Control,156,8,22.7
Control,156,9,22.9
Control,156,10,22.8
Control,156,11,24.2
Control,156,12,24.7
Control,156,13,26.1
Control,156,14,27.5
Stress,113,1,20.1
Stress,113,2,18.8
Stress,113,3,19
Stress,113,4,19.3
Stress,113,5,19.3
Stress,113,6,19.1
Stress,113,7,19.4
Stress,113,8,20.8
Stress,113,9,20.6
Stress,113,10,20.3
Stress,113,11,21.4
Stress,113,12,22.6
Stress,113,13,24.3
Stress,113,14,25.6
Stress,121,1,19.4
Stress,121,2,18.1
Stress,121,3,18.7
Stress,121,4,18.9
Stress,121,5,19.1
Stress,121,6,18.9
Stress,121,7,19
Stress,121,8,19.9
Stress,121,9,19.8
Stress,121,10,19.9
Stress,121,11,21.9
Stress,121,12,23
Stress,121,13,25
Stress,121,14,26.1
Stress,126,1,21.8
Stress,126,2,20.2
Stress,126,3,20.6
Stress,126,4,20.7
Stress,126,5,20
Stress,126,6,20.3
Stress,126,7,20.9
Stress,126,8,22.2
Stress,126,9,21.7
Stress,126,10,21.6
Stress,126,11,23.1
Stress,126,12,24.1
Stress,126,13,25.7
Stress,126,14,27.5
Stress,127,1,18.8
Stress,127,2,18.1
Stress,127,3,17.4
Stress,127,4,18.2
Stress,127,5,18.6
Stress,127,6,18.2
Stress,127,7,18.8
Stress,127,8,18.9
Stress,127,9,19.1
Stress,127,10,19
Stress,127,11,20.7
Stress,127,12,22.1
Stress,127,13,22.8
Stress,127,14,24.8
Stress,137,1,21.2
Stress,137,2,20.3
Stress,137,3,20.6
Stress,137,4,20.5
Stress,137,5,19.7
Stress,137,6,20.2
Stress,137,7,21.2
Stress,137,8,21
Stress,137,9,21
Stress,137,10,21.2
Stress,137,11,23
Stress,137,12,25.3
Stress,137,13,26.1
Stress,137,14,28.7
Stress,139,1,21.8
Stress,139,2,20.7
Stress,139,3,20.3
Stress,139,4,19.7
Stress,139,5,18.9
Stress,139,6,19.3
Stress,139,7,19.3
Stress,139,8,19.7
Stress,139,9,19.9
Stress,139,10,19.9
Stress,139,11,21.2
Stress,139,12,22.2
Stress,139,13,24.2
Stress,139,14,25.1
Stress,147,1,21.2
Stress,147,2,20.1
Stress,147,3,20.8
Stress,147,4,20.6
Stress,147,5,20.3
Stress,147,6,20.7
Stress,147,7,21
Stress,147,8,21
Stress,147,9,21.8
Stress,147,10,21.5
Stress,147,11,22.2
Stress,147,12,23.2
Stress,147,13,24
Stress,147,14,25.5
Stress,148,1,20.4
Stress,148,2,20.4
Stress,148,3,20
Stress,148,4,20
Stress,148,5,20.5
Stress,148,6,19.6
Stress,148,7,19.7
Stress,148,8,20.3
Stress,148,9,20.8
Stress,148,10,20.5
Stress,148,11,22
Stress,148,12,22.9
Stress,148,13,24.4
Stress,148,14,26
Stress,154,1,21.3
Stress,154,2,20.3
Stress,154,3,20.6
Stress,154,4,20.4
Stress,154,5,19.6
Stress,154,6,20.2
Stress,154,7,20.9
Stress,154,8,20.7
Stress,154,9,20.8
Stress,154,10,20.4
Stress,154,11,21.1
Stress,154,12,21.8
Stress,154,13,23.5
Stress,154,14,25.1
Stress,157,1,21.1
Stress,157,2,20.5
Stress,157,3,20.1
Stress,157,4,20.5
Stress,157,5,20.2
Stress,157,6,20.3
Stress,157,7,20.5
Stress,157,8,20.9
Stress,157,9,22.1
Stress,157,10,21.7
Stress,157,11,23
Stress,157,12,24.4
Stress,157,13,25.6
Stress,157,14,26.9
