DamID,PlacentaID,Weight,Treatment,Sex
112,A,0.2026,Control,M
112,B,0.1809,Control,F
112,C,,Control,M
112,D,0.2101,Control,F
112,E,0.1692,Control,M
112,F,0.2243,Control,F
112,G,0.2081,Control,F
113,A,0.1842,Stress,F
113,B,0.1938,Stress,F
113,C,0.1779,Stress,F
113,D,0.1871,Stress,F
113,E,0.1568,Stress,M
113,F,0.1495,Stress,F
113,G,0.1609,Stress,F
116,A,0.2102,Control,F
116,B,0.1998,Control,M
116,C,0.1801,Control,F
116,D,0.1942,Control,M
116,E,0.2073,Control,F
116,F,0.2177,Control,M
116,G,0.2272,Control,M
116,H,0.1776,Control,F
116,I,0.2039,Control,M
121,A,0.1522,Stress,M
121,B,0.1707,Stress,M
121,C,0.1564,Stress,M
121,D,0.1223,Stress,F
121,E,0.1316,Stress,F
121,F,0.1316,Stress,F
121,G,0.1294,Stress,F
121,H,0.1505,Stress,F
122,A,0.217,Control,F
122,B,0.2182,Control,M
122,C,0.2156,Control,F
122,D,0.2113,Control,M
122,E,0.2155,Control,M
122,F,0.2304,Control,M
122,G,0.2278,Control,F
122,H,0.1965,Control,M
122,I,0.2024,Control,M
123,A,0.1853,Control,M
123,B,0.1821,Control,M
123,C,0.1859,Control,F
123,D,0.2047,Control,M
123,E,0.1994,Control,F
123,F,0.1992,Control,M
123,G,0.1905,Control,M
123,H,0.1868,Control,M
126,A,0.1395,Stress,M
126,B,0.1623,Stress,M
126,C,0.1767,Stress,F
126,D,0.1618,Stress,M
126,E,0.1574,Stress,M
126,F,0.1895,Stress,F
126,G,0.1685,Stress,F
126,H,0.1803,Stress,M
126,I,,Stress,F
127,A,0.142,Stress,F
127,B,0.1327,Stress,M
127,C,0.1436,Stress,M
127,D,0.1502,Stress,M
127,E,,Stress,F
127,F,0.1556,Stress,M
127,G,0.1712,Stress,M
130,A,0.2256,Control,M
130,B,0.1906,Control,F
130,C,0.2079,Control,F
130,D,0.2143,Control,M
130,E,0.1734,Control,F
130,F,0.1997,Control,F
130,G,0.1988,Control,F
130,H,0.1986,Control,M
130,I,0.1862,Control,F
136,A,0.1762,Control,M
136,B,0.1713,Control,F
136,C,,Control,M
136,D,,Control,F
136,E,0.1577,Control,F
136,F,0.1613,Control,F
137,A,,Stress,F
137,B,0.2733,Stress,F
137,C,0.2918,Stress,M
137,D,0.2612,Stress,F
137,E,0.2687,Stress,F
137,F,0.2721,Stress,F
137,G,0.2522,Stress,F
137,H,0.3013,Stress,M
139,A,0.1886,Stress,F
139,B,0.153,Stress,F
139,C,0.146,Stress,F
139,D,0.1663,Stress,M
139,E,0.1782,Stress,F
139,F,0.1266,Stress,F
139,G,0.156,Stress,F
139,H,0.1416,Stress,F
147,A,0.0331,Stress,F
147,B,,Stress,F
147,C,0.0462,Stress,M
147,D,0.0308,Stress,F
147,E,0.0381,Stress,F
147,F,,Stress,M
148,A,0.1386,Stress,F
148,B,0.1417,Stress,M
148,C,0.1385,Stress,M
148,D,0.1091,Stress,NA
148,E,0.1364,Stress,M
148,F,0.1238,Stress,F
148,G,0.125,Stress,F
148,H,0.1172,Stress,F
148,I,0.1471,Stress,F
149,A,0.1643,Control,F
149,B,0.183,Control,F
149,C,,Control,F
149,D,0.1985,Control,F
149,E,0.2118,Control,M
149,F1,0.1917,Control,F
149,F2,,Control,F
149,G,0.1791,Control,M
149,H,0.1835,Control,F
154,A,0.084,Stress,M
154,B,0.0555,Stress,F
154,C,0.0907,Stress,F
154,D,0.0751,Stress,M
154,E,0.0691,Stress,F
154,F,0.0733,Stress,F
154,G,0.075,Stress,M
154,H,0.0782,Stress,F
154,I,0.0819,Stress,M
155,A,0.295,Control,F
155,B,0.3208,Control,F
155,C,0.3286,Control,F
155,D,0.3408,Control,M
155,E,0.342,Control,F
155,F,0.3325,Control,M
156,A,0.1661,Control,NA
156,B,0.1752,Control,M
156,C,0.1625,Control,M
156,D,0.1194,Control,M
156,E,0.1478,Control,F
156,F,0.1622,Control,F
156,G,0.1305,Control,F
156,H,0.1715,Control,F
157,A,0.2595,Stress,M
157,B,0.223,Stress,F
157,C,0.2665,Stress,F
157,D,0.2788,Stress,M
157,E,0.2424,Stress,F
157,F,,Stress,M
157,G,0.2599,Stress,F
