damID,day,trt,d2r,lhb,prl,ordered_day
102,5,control,1.073155,0.94352,1.05,a 5control
106,5,control,1.041521,1.241853,0.944,a 5control
108,5,control,0.882385,1.119917,0.828,a 5control
111,5,control,0.757051,0.889722,1.08,a 5control
117,5,control,0.851942,0.917292,0.978,a 5control
128,5,control,0.949267,1.028384,1.1,a 5control
140,5,control,1.076843,0.798223,1.08,a 5control
146,5,control,1.244498,1.277453,1.06,a 5control
150,5,control,1.123338,0.783636,0.875,a 5control
48b,10,control,,,0.803,b 10control
56,10,control,1.028741,0.5681164,0.8651469,b 10control
60,10,control,0.8666036,0.544745,0.8115989,b 10control
65,10,control,1.080461,0.6469803,1.116824,b 10control
,10,control,,,,b 10control
82,10,control,1.045229,0.723047,1.031697,b 10control
83,10,control,1.015571,0.8838944,1.151553,b 10control
84,10,control,0.8457747,0.8428831,0.8895876,b 10control
101,5,stress,1.17044,1.630008,0.808,a 5stress
103,5,stress,0.963853,0.899588,0.712,a 5stress
107,5,stress,1.143434,0.991919,0.823,a 5stress
114,5,stress,1.421952,1.082139,0.64,a 5stress
118,5,stress,1.110356,,0.334,a 5stress
119,5,stress,0.864718,1.214205,0.855,a 5stress
129,5,stress,1.314564,0.759481,0.988,a 5stress
135,5,stress,1.143332,1.289594,0.664,a 5stress
138,5,stress,1.091335,0.9589,0.814,a 5stress
151,5,stress,1.406977,0.795693,0.799,a 5stress
158,5,stress,1.139019,0.833336,0.712,a 5stress
30B,10,stress,1.284408,,,b 10stress
49B,10,stress,1.323143,0.8310496,0.8516011,b 10stress
50B,10,stress,1.419434,1.02824,0.9062281,b 10stress
51B,10,stress,0.9299794,0.6166797,0.945009,b 10stress
52B,10,stress,1.086246,0.6290083,0.7203712,b 10stress
55,10,stress,1.2812,0.7226058,0.9261006,b 10stress
57,10,stress,0.9802255,0.8351351,1.075445,b 10stress
,10,stress,,,0.8188047,b 10stress
86,10,stress,0.9036108,0.7499766,,b 10stress
,10,stress,,,0.8288022,b 10stress
,,,,,,
